sample_ID,compound_seen,strain_seen,time_seen,plate_seen,source_seen,instrument_seen,time_distance,expert_disagreement,compound_log1p_count,strain_log1p_count,plate_log1p_count,A,B,C,n_obs_proteins,axis,fold_id,field_col,gate_value
B1115,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2185636569283038,5.525452939131784,7.16703787691222,0.0,0.1192259451824945,-0.0261472177210489,0.0344260416855845,4133,plate,0,Yeast_cell_plate,0.6464678
B1116,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2499338732230887,5.529429087511423,7.16703787691222,0.0,0.150208777707071,-0.0460130544881024,0.0487263723113272,4125,plate,0,Yeast_cell_plate,0.649397
B1119,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2364629302039547,5.537334267018537,7.212294468500341,0.0,0.1199794650638459,-0.0382227115959345,0.0380489547029908,3862,plate,0,Yeast_cell_plate,0.64889604
B1121,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2182436872152604,5.537334267018537,7.226209010100671,0.0,0.1163756838570367,-0.029549929864906,0.0318112783107639,3742,plate,0,Yeast_cell_plate,0.6469843
B1125,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2273749265437108,5.537334267018537,7.245655067594535,0.0,0.1229769215250819,-0.0306700700434099,0.0365726852365568,3840,plate,0,Yeast_cell_plate,0.6482946
B1127,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2487554613550748,5.537334267018537,7.16703787691222,0.0,0.115311297214729,-0.0395300921271697,0.043166479174704,3965,plate,0,Yeast_cell_plate,0.64937395
B1131,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2818172512360994,5.521460917862246,7.212294468500341,0.0,0.1405452033404113,-0.048209025481296,0.0651082762155697,3966,plate,0,Yeast_cell_plate,0.6498945
B1132,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.252758712336681,5.513428746164983,7.212294468500341,0.0,0.1412992608859417,-0.0471099946666981,0.0462681439680378,3976,plate,0,Yeast_cell_plate,0.6495068
B1134,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2335505265586341,5.513428746164983,7.226209010100671,0.0,0.1798842836451517,-0.0376858316259107,0.0385520628923796,3871,plate,0,Yeast_cell_plate,0.6486375
B1137,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.267246504493157,5.521460917862246,7.245655067594535,0.0,0.1157572747691268,-0.0401517494641122,0.061489371484078,4065,plate,0,Yeast_cell_plate,0.64979136
B1138,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2468845437918601,5.513428746164983,7.245655067594535,0.0,0.1434864458946328,-0.0425439330435473,0.0517689960822678,3995,plate,0,Yeast_cell_plate,0.64937353
B1139,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2385826776061119,5.521460917862246,7.16703787691222,0.0,0.1457435234209311,-0.0469180739324422,0.043921603895784,4122,plate,0,Yeast_cell_plate,0.6488533
B1140,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2300027599082735,5.513428746164983,7.16703787691222,0.0,0.1163630337647272,-0.0358067729219621,0.0416345156603299,4135,plate,0,Yeast_cell_plate,0.6480943
B1144,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2736490888430045,6.226536669287466,7.212294468500341,0.0,0.1711594904426137,-0.0571852770646332,0.0563745955386443,3976,plate,0,Yeast_cell_plate,0.6499826
B1146,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2378503613293746,6.226536669287466,7.226209010100671,0.0,0.1608281956091926,-0.0348098682864749,0.0359939154866977,3907,plate,0,Yeast_cell_plate,0.6498946
B1150,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2653246543294834,6.226536669287466,7.245655067594535,0.0,0.169702089916806,-0.0481538934735993,0.0566616614503533,4067,plate,0,Yeast_cell_plate,0.6499752
B1152,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2590657176643207,6.226536669287466,7.16703787691222,0.0,0.1626583237720469,-0.0491254193681608,0.0489364286181374,4158,plate,0,Yeast_cell_plate,0.6499593
B1637,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2450622203033712,5.869296913133774,7.226209010100671,0.0,0.2545423413383282,-0.058949265456835,0.0516850098430027,4039,plate,0,Yeast_cell_plate,0.64977133
B1641,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2749505000119256,5.869296913133774,7.245655067594535,0.0,0.2307611713368869,-0.0627988692886997,0.0697485008680686,4164,plate,0,Yeast_cell_plate,0.64995325
B1643,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.3001395679005806,5.869296913133774,7.16703787691222,0.0,0.313741386796377,-0.0978361262585081,0.0802714118381293,4149,plate,0,Yeast_cell_plate,0.64998484
B1648,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2725070079731951,5.517452896464707,7.212294468500341,0.0,0.3436764333145934,-0.0982325727557448,0.0659489025114425,4066,plate,0,Yeast_cell_plate,0.6498269
B1649,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2458362519375971,6.226536669287466,7.226209010100671,0.0,0.2358394711658793,-0.0425106461752726,0.051111766869223,4040,plate,0,Yeast_cell_plate,0.64992994
